id,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
722,low,293,Z,low,415,Z,medium,220,X,medium,33,X,high,95,Z,low,453,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-05-2024,21:37:00,00:09:00,20-05-2024 00:07,Abortion Travel,Rwigara Mother Adeline,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
723,low,388,Z,low,419,Y,high,111,Z,medium,176,Y,high,315,Z,high,272,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",31-01-2024,13:11:00,14:38:00,31-01-2024 14:34,Abortion Travel,Rwigara Mother Adeline,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
724,high,112,Y,low,411,Z,high,345,X,medium,408,Y,medium,402,Y,low,160,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",26-02-2024,06:26:00,08:15:00,26-02-2024 08:05,Scammers Cnn Epik,Ravaged Nicaragua Category,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
725,low,299,X,medium,229,X,low,68,X,high,77,X,low,215,X,medium,431,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",04-09-2024,09:13:00,12:41:00,04-09-2024 12:38,Abortion Travel,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
726,low,142,X,high,133,X,medium,149,Z,low,2,Y,low,43,X,high,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",14-03-2024,15:42:00,19:19:00,14-03-2024 19:16,Cnnpolitics Polls Underestimating,2020 Presidential Election,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
727,medium,58,Z,high,184,Z,high,68,Y,low,279,X,high,73,Y,low,345,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",09-11-2024,07:23:00,11:20:00,09-11-2024 11:10,Cnnpolitics Polls Underestimating,Said Alicia Keys,Senator,R,Senator Lindsey Graham (SC),Guns Roe Wade
728,low,287,Y,high,327,Z,medium,431,X,low,280,Y,high,445,Z,low,383,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",04-02-2024,09:02:00,12:13:00,04-02-2024 12:11,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
729,high,10,Z,high,127,X,medium,108,Z,low,281,X,low,107,Z,low,181,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",27-04-2024,10:11:00,13:43:00,27-04-2024 13:42,Assassination Question,Rwigara Mother Adeline,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
730,high,46,Z,high,341,Z,medium,434,Y,low,0,Z,medium,289,Y,medium,150,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-12-2024,09:47:00,13:35:00,30-12-2024 13:27,Cnnpolitics Polls Underestimating,2020 Presidential Election,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
731,medium,264,Y,medium,257,Y,high,68,Z,low,101,Y,low,468,X,medium,4,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",09-01-2024,08:02:00,09:24:00,09-01-2024 09:15,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
732,low,449,X,low,221,Y,high,482,Y,low,279,Z,low,187,Y,medium,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",31-08-2024,11:53:00,14:08:00,31-08-2024 14:07,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Guns Roe Wade
733,high,357,Z,medium,177,Z,low,171,Y,medium,369,Y,high,33,Z,low,21,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-02-2024,14:15:00,16:01:00,07-02-2024 15:51,Scammers Cnn Epik,Said Alicia Keys,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
734,medium,7,X,low,229,X,medium,327,Y,medium,325,X,low,236,Y,low,228,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-12-2024,06:25:00,07:42:00,24-12-2024 07:40,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
735,low,54,Y,low,232,Z,medium,68,Y,low,407,Y,low,236,Z,low,265,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",05-11-2024,12:19:00,14:51:00,05-11-2024 14:43,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
736,high,215,X,high,153,X,high,39,Y,medium,273,Y,low,325,X,low,212,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-04-2024,17:18:00,19:39:00,19-04-2024 19:38,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
737,high,214,X,high,191,Y,medium,68,X,low,201,Z,high,451,Y,medium,351,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",09-02-2024,09:28:00,09:59:00,09-02-2024 09:57,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
738,medium,19,Y,high,242,X,low,103,Z,high,279,Y,high,387,X,low,180,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-07-2024,12:16:00,14:57:00,13-07-2024 14:54,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
739,medium,128,Y,medium,308,X,low,490,Z,medium,192,X,high,344,Y,low,395,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-08-2024,13:56:00,15:56:00,13-08-2024 15:53,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
740,high,63,Y,medium,495,Z,low,44,Y,medium,78,X,low,166,Y,medium,326,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-10-2024,06:52:00,07:49:00,24-10-2024 07:45,Scammers Cnn Epik,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
741,low,420,Y,high,170,X,medium,382,Z,high,287,Z,low,236,X,medium,468,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",08-03-2024,08:26:00,09:11:00,08-03-2024 09:08,Assassination Question,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
742,medium,329,Y,medium,89,Y,high,419,Y,high,147,X,high,362,Z,high,363,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-03-2024,07:02:00,08:52:00,24-03-2024 08:43,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
743,medium,195,X,high,488,Z,low,453,Z,high,132,Z,medium,422,Z,medium,63,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-03-2024,13:37:00,14:29:00,19-03-2024 14:25,Scammers Cnn Epik,Beating Forecasts Covid,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
744,medium,285,X,low,73,Z,medium,264,Z,medium,355,X,low,347,Y,high,279,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-10-2024,20:43:00,21:23:00,16-10-2024 21:13,New Covid Lockdowns,Pennsylvania Investigation Abuse,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
745,low,100,Z,medium,451,X,medium,262,Z,medium,33,X,low,326,Y,high,328,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",17-08-2024,15:34:00,18:45:00,17-08-2024 18:37,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
746,low,425,Z,high,71,Z,medium,371,X,medium,11,Z,high,359,X,medium,6,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",18-08-2024,20:54:00,00:26:00,19-08-2024 00:20,Cnnpolitics Polls Underestimating,Niger State Television,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
747,low,2,X,high,181,Y,high,317,X,low,178,Y,low,138,X,medium,22,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",21-01-2024,19:37:00,23:10:00,21-01-2024 23:01,Scammers Cnn Epik,Said Alicia Keys,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
748,medium,252,X,high,499,Z,low,393,Y,medium,297,Y,low,58,Y,low,11,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",27-06-2024,18:11:00,21:48:00,27-06-2024 21:42,Assassination Question,Ravaged Nicaragua Category,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
749,high,160,Z,low,82,Y,medium,180,Z,high,419,X,medium,314,Y,high,85,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-09-2024,07:28:00,08:25:00,16-09-2024 08:18,Scammers Cnn Epik,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
750,medium,225,Z,medium,79,Y,high,466,X,low,258,X,medium,471,Z,high,440,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",14-03-2024,12:24:00,14:32:00,14-03-2024 14:27,Cnnpolitics Polls Underestimating,2020 Presidential Election,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
751,low,258,X,low,304,Y,medium,216,X,medium,129,X,medium,68,Z,low,120,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",31-01-2024,15:18:00,16:28:00,31-01-2024 16:20,Assassination Question,Ravaged Nicaragua Category,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
752,high,323,X,high,95,Y,medium,124,X,low,171,X,medium,35,X,medium,93,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-05-2024,20:26:00,23:37:00,30-05-2024 23:32,Cnnpolitics Polls Underestimating,2020 Presidential Election,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
753,medium,464,X,medium,12,X,medium,375,Y,low,189,X,low,353,X,low,223,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",28-07-2024,20:04:00,21:11:00,28-07-2024 21:07,Scammers Cnn Epik,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
754,high,280,Z,low,347,X,high,310,Z,low,167,Y,medium,211,Y,low,199,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",11-10-2024,20:35:00,00:09:00,12-10-2024 00:01,Making Racism,Ravaged Nicaragua Category,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
755,low,113,Z,high,479,X,medium,24,Y,medium,334,X,high,451,Y,low,496,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",29-08-2024,14:35:00,18:22:00,29-08-2024 18:20,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
756,low,420,Y,high,379,Z,medium,83,Z,low,399,Y,high,235,Z,low,51,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",02-12-2024,08:02:00,08:35:00,02-12-2024 08:30,Assassination Question,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
757,high,256,X,low,482,Y,medium,18,X,high,354,Z,low,260,X,low,420,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-05-2024,13:08:00,16:51:00,30-05-2024 16:46,Assassination Question,Coronavirus Pandemic Late,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
758,low,432,Y,low,263,Y,medium,287,X,medium,279,X,high,30,Y,medium,114,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",28-02-2024,11:33:00,12:41:00,28-02-2024 12:34,Assassination Question,Ravaged Nicaragua Category,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
759,low,283,X,low,307,Y,high,68,Z,medium,143,Y,medium,476,Y,medium,154,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",05-12-2024,09:06:00,11:17:00,05-12-2024 11:07,New Covid Lockdowns,Said Alicia Keys,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
760,low,434,X,low,491,Z,low,161,Y,medium,39,Y,low,165,Y,low,242,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",01-04-2024,14:34:00,16:25:00,01-04-2024 16:19,Apology Cnn Vatican,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
761,low,324,X,medium,251,Z,low,55,X,high,398,Y,low,219,X,high,487,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",03-03-2024,18:10:00,21:38:00,03-03-2024 21:30,Assassination Question,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
762,medium,285,X,high,19,Z,medium,425,X,low,481,Z,high,314,Z,medium,117,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",25-11-2024,12:52:00,14:01:00,25-11-2024 13:59,Assassination Question,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
763,medium,164,X,low,119,X,medium,360,Z,low,27,Z,medium,428,Y,high,171,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",26-02-2024,17:51:00,18:21:00,26-02-2024 18:15,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
764,low,128,Z,medium,310,X,low,272,Z,medium,65,Z,low,397,X,low,329,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",26-12-2024,14:01:00,16:29:00,26-12-2024 16:25,Assassination Question,2020 Presidential Election,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
765,medium,49,Y,medium,428,Z,high,99,Z,low,107,Z,high,386,Y,low,335,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-10-2024,07:52:00,09:29:00,24-10-2024 09:25,Assassination Question,Ravaged Nicaragua Category,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
766,low,274,Y,high,303,Z,low,336,Y,medium,398,X,high,236,X,low,183,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",25-11-2024,21:38:00,01:33:00,26-11-2024 01:23,Assassination Question,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
767,low,460,Y,medium,202,X,medium,183,Z,low,108,Y,low,44,Y,low,65,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-05-2024,19:20:00,23:06:00,19-05-2024 23:03,Assassination Question,Ravaged Nicaragua Category,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
768,low,6,Z,high,160,Y,medium,122,Z,high,6,Y,medium,415,X,high,394,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",12-12-2024,12:12:00,12:54:00,12-12-2024 12:51,Assassination Question,Actor Bob Odenkirk,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
769,low,476,Z,high,341,X,low,146,Y,high,167,Y,medium,236,X,low,450,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",11-09-2024,14:13:00,15:42:00,11-09-2024 15:35,Assassination Question,Ravaged Nicaragua Category,Senator,D,Senator Dianne Feinstein (CA),Chairman Senator Feinstein
770,medium,429,Y,high,449,Z,high,30,X,low,182,Z,low,311,X,high,300,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",30-03-2024,14:01:00,15:11:00,30-03-2024 15:07,Mbappe Neymar Prove,Lomachenko,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
771,medium,219,Z,low,139,Z,low,245,Z,medium,197,Y,low,455,Y,low,436,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",19-03-2024,21:36:00,00:34:00,20-03-2024 00:32,New Covid Lockdowns,Coronavirus Pandemic Late,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
772,low,156,Y,low,229,Z,medium,376,Y,low,257,Y,low,158,Z,medium,126,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-03-2024,21:15:00,23:06:00,13-03-2024 22:57,Mbappe Neymar Prove,Hold Fastest Marathon,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
773,medium,290,X,low,213,Z,medium,413,Y,medium,120,Z,medium,175,Y,low,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",16-10-2024,21:01:00,22:54:00,16-10-2024 22:46,Scammers Cnn Epik,Niger State Television,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
774,high,427,Z,medium,123,Y,medium,362,Z,medium,14,Z,low,85,Z,medium,40,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",14-08-2024,16:02:00,16:50:00,14-08-2024 16:41,Scammers Cnn Epik,Ravaged Nicaragua Category,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
775,low,14,Z,low,202,X,low,437,X,high,53,Z,low,396,X,medium,451,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",05-08-2024,15:21:00,17:41:00,05-08-2024 17:34,Mbappe Neymar Prove,Lomachenko,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
776,low,224,Y,medium,44,Z,medium,481,Z,low,367,Y,high,334,Z,medium,466,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",31-01-2024,20:17:00,22:37:00,31-01-2024 22:28,Companies Pulling Russia,Help Russia,Senator,R,Senator Lindsey Graham (SC),Senator Graham Citizens
777,high,23,Y,low,265,Y,medium,111,X,medium,329,X,high,236,Y,low,172,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",25-05-2024,07:57:00,10:28:00,25-05-2024 10:24,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Executive Privilege Limit
778,medium,322,Z,high,53,X,medium,216,X,high,130,Z,low,499,Z,low,60,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",07-01-2024,13:17:00,17:03:00,07-01-2024 16:57,New Covid Lockdowns,Coronavirus Pandemic Late,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
779,low,38,Y,high,237,Z,high,168,Y,low,470,Z,medium,15,X,high,374,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",28-03-2024,21:07:00,00:22:00,29-03-2024 00:17,Golf Black Professional,Hold Fastest Marathon,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
780,medium,158,Y,medium,448,Y,high,342,Y,low,270,X,low,385,X,low,334,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",05-11-2024,20:32:00,23:45:00,05-11-2024 23:42,Bob Baffert Suspended,Lomachenko,Senator,D,Senator Dick Durbin (IL),Kavanaugh Dissents President
781,medium,369,Z,medium,72,X,low,418,X,high,398,X,high,103,X,medium,323,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",11-02-2024,18:14:00,19:41:00,11-02-2024 19:40,Golf Black Professional,Hold Fastest Marathon,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
782,low,375,X,high,125,Z,medium,444,Z,low,396,Y,high,391,X,high,315,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",15-03-2024,06:24:00,09:07:00,15-03-2024 08:57,Cnn Montana Nonprofit,Point Tally Nba,Senator,D,Senator Dick Durbin (IL),Executive Privilege Limit
783,low,113,Y,low,360,X,high,68,Y,low,150,X,low,241,X,low,20,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",13-01-2024,20:08:00,21:42:00,13-01-2024 21:32,Mbappe Neymar Prove,Lomachenko,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
784,high,256,Z,medium,453,Z,medium,257,Z,high,295,Y,low,117,Z,high,334,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",10-05-2024,17:35:00,21:27:00,10-05-2024 21:22,Scammers Cnn Epik,Turned Movie Different,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
785,high,92,X,high,229,Y,high,58,Z,medium,296,Y,low,28,Z,medium,242,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",24-03-2024,06:59:00,08:11:00,24-03-2024 08:04,Cnn Montana Nonprofit,Niger State Television,Nominee,R,Brett M. Kavanaugh,Kavanaugh Dissents President
786,high,295,X,low,60,X,low,164,Y,low,227,X,low,310,Z,medium,15,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",26-11-2024,19:07:00,20:29:00,26-11-2024 20:20,Companies Pulling Russia,Help Russia,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
787,low,4,Y,high,119,Z,medium,239,Y,high,317,Z,medium,80,Y,high,427,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",21-02-2024,18:22:00,20:15:00,21-02-2024 20:06,New Covid Lockdowns,Coronavirus Pandemic Late,Nominee,R,Brett M. Kavanaugh,Proud Judge Kavanaugh
788,high,406,X,high,491,Z,medium,309,Y,medium,168,X,high,224,X,high,14,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""0298-0912-675B"",""description"":""nearline storage tokyo"",""original_region"":""asia-northeast1""}",09-11-2024,20:04:00,22:37:00,09-11-2024 22:34,Winter Olympics Don,Coronavirus Pandemic Late,Senator,D,Senator Dick Durbin (IL),Proud Judge Kavanaugh
