id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
785,SOTON/O.Q. 3101312,7.05,,S,,,low,74,A,unknown,14,D,low,,Y,,188,Y,low,21,Z,high,360
786,374887,7.25,,S,58,,medium,,D,medium,,B,medium,41,Y,low,232,Y,medium,284,Z,medium,91
787,3101265,7.4958,,S,,B,unknown,,A,medium,35,D,,29,Z,medium,213,Z,low,475,Y,,244
788,382652,29.125,,Q,68,B,medium,59,B,unknown,63,,unknown,,X,low,478,X,medium,498,Z,high,416
789,C.A. 2315,20.575,,S,,,high,,A,low,63,A,low,,,high,437,X,medium,139,Y,medium,
790,PC 17593,79.2,B82 B84,C,,D,low,77,C,,29,,high,11,,low,447,Y,medium,187,Z,medium,59
791,12460,7.75,,Q,,A,low,46,A,unknown,,D,high,,Y,low,303,Y,high,332,Y,high,410
792,239865,26,,S,45,B,high,90,,medium,8,D,high,98,Y,high,95,Z,low,456,X,low,436
793,CA. 2343,69.55,,S,,C,low,,D,low,29,D,high,23,X,high,71,Z,medium,87,Y,medium,215
794,PC 17600,30.6958,,C,,C,medium,,,medium,82,B,unknown,77,Y,,137,X,low,487,Y,low,22
795,349203,7.8958,,S,43,B,medium,91,,unknown,65,B,,2,Z,low,325,X,medium,408,X,medium,270
796,28213,13,,S,29,C,low,47,D,unknown,94,,high,89,X,low,182,Y,low,34,Z,high,149
797,17465,25.9292,D17,S,96,,high,,B,unknown,,A,high,65,Y,high,327,Z,low,420,X,medium,293
798,349244,8.6833,,S,,A,unknown,,C,,85,,high,22,X,high,439,Y,high,320,Z,high,69
799,2685,7.2292,,C,31,,low,87,,,17,C,unknown,88,X,high,167,Z,,489,Z,low,402
800,345773,24.15,,S,,C,unknown,75,A,medium,,C,low,,Y,high,463,X,low,104,Y,,342
801,250647,13,,S,1,,high,16,A,,5,B,unknown,99,Y,low,255,Z,low,496,,high,322
802,C.A. 31921,26.25,,S,,,,49,A,unknown,9,D,high,59,Y,high,401,X,low,23,Y,low,256
803,113760,120,B96 B98,S,51,,low,37,D,,23,C,unknown,44,X,medium,,Z,low,,Z,low,110
804,2625,8.5167,,C,91,C,unknown,64,D,unknown,28,A,medium,5,Y,high,137,Z,high,223,X,high,469
805,347089,6.975,,S,,C,low,,,,1,,,26,X,medium,465,X,medium,328,,,132
806,347063,7.775,,S,,,,71,,,,D,,5,Y,high,443,X,medium,83,Y,low,183
807,112050,0,A36,S,,D,high,74,,unknown,52,A,,85,Z,,285,Y,medium,136,X,high,463
808,347087,7.775,,S,11,D,medium,,D,low,65,C,unknown,,Y,high,16,Z,medium,194,Z,low,20
809,248723,13,,S,,A,low,15,,,65,A,,11,Z,medium,29,X,medium,,Y,medium,62
810,113806,53.1,E8,S,99,D,,62,,,96,,low,,Y,low,211,X,medium,87,X,low,380
811,3474,7.8875,,S,4,A,low,,,,,,high,97,Z,medium,449,Z,high,74,X,medium,183
812,A/4 48871,24.15,,S,87,,high,94,,low,34,B,high,97,Z,medium,188,Z,low,477,X,low,289
813,28206,10.5,,S,68,,unknown,77,B,,,,high,71,Z,low,442,X,medium,468,Y,low,290
814,347082,31.275,,S,28,B,medium,95,,unknown,55,A,low,7,Y,high,267,Z,low,314,Y,high,413
815,364499,8.05,,S,,,,53,B,medium,52,C,,50,X,low,67,Z,medium,341,Y,low,310
816,112058,0,B102,S,83,B,low,93,,medium,79,D,medium,94,Y,medium,280,,high,68,Y,low,213
817,STON/O2. 3101290,7.925,,S,4,C,,1,,medium,56,B,high,9,Z,,182,X,high,25,Y,low,274
818,S.C./PARIS 2079,37.0042,,C,10,A,low,28,,,23,D,unknown,79,Y,high,112,Z,medium,188,Y,high,369
819,C 7075,6.45,,S,66,C,low,0,B,high,,B,high,1,Z,medium,337,X,,492,X,medium,189
820,347088,27.9,,S,99,B,high,67,,high,96,A,,,Z,high,102,X,high,238,X,low,85
821,12749,93.5,B69,S,,C,,51,A,,,C,unknown,,Z,high,452,X,medium,403,Z,medium,243
822,315098,8.6625,,S,66,D,,28,,medium,59,D,,,,low,401,Y,high,184,Z,medium,499
823,19972,0,,S,13,,,30,C,unknown,17,B,unknown,41,X,high,391,,,154,X,medium,56
824,392096,12.475,E121,S,65,,,,,unknown,0,D,,,Y,medium,38,,low,406,X,low,86
825,3101295,39.6875,,S,62,B,high,18,B,high,,C,unknown,84,Y,,480,X,high,235,Y,high,497
826,368323,6.95,,Q,9,,,51,A,,2,,,32,Z,low,246,X,,365,Y,high,414
827,1601,56.4958,,S,68,B,unknown,61,,medium,45,,,64,,medium,366,X,high,363,Y,high,58
828,S.C./PARIS 2079,37.0042,,C,89,A,,23,,high,88,B,,46,X,high,95,Z,low,363,Y,high,106
829,367228,7.75,,Q,,C,,22,C,medium,,A,low,43,X,high,384,X,medium,,X,low,345
830,113572,80,B28,,2,B,medium,,,,,,,79,Y,high,,X,,404,Y,medium,391
831,2659,14.4542,,C,,A,,,,,85,,low,22,X,high,353,X,low,231,Z,high,366
832,29106,18.75,,S,,A,high,25,D,low,,C,medium,,Y,medium,138,X,high,151,Y,,430
833,2671,7.2292,,C,45,,unknown,37,,,65,C,unknown,48,X,high,466,Z,low,256,Z,high,
834,347468,7.8542,,S,14,D,unknown,54,C,,78,A,,,Z,low,354,X,low,162,Z,medium,438
835,2223,8.3,,S,85,,medium,18,B,low,,,low,,Y,high,226,Y,low,21,Z,high,298
836,PC 17756,83.1583,E49,C,77,A,,56,D,unknown,42,B,medium,34,Z,low,228,Y,high,180,Y,low,237
837,315097,8.6625,,S,80,B,low,13,,,39,C,,66,Y,medium,0,X,low,250,Y,high,318
838,392092,8.05,,S,19,D,unknown,14,B,unknown,,B,,47,X,high,149,Y,medium,260,,high,214
839,1601,56.4958,,S,1,C,low,23,C,medium,40,D,,,X,,394,X,low,170,X,low,303
840,11774,29.7,C47,C,91,A,,28,,unknown,,A,high,52,Z,high,415,Y,medium,362,Y,high,416
841,SOTON/O2 3101287,7.925,,S,28,,medium,2,D,,18,A,,,Y,high,499,X,medium,142,X,low,479
842,S.O./P.P. 3,10.5,,S,65,B,unknown,96,B,,17,B,low,,Z,medium,42,Y,low,323,Y,high,289
843,113798,31,,C,90,D,,,D,low,71,A,unknown,44,Z,low,125,Y,low,134,X,high,2
844,2683,6.4375,,C,3,A,medium,,,,76,A,,43,Y,high,383,Y,medium,493,Y,low,310
845,315090,8.6625,,S,0,D,,,,medium,67,C,medium,27,Y,medium,180,X,,324,Z,medium,125
846,C.A. 5547,7.55,,S,0,C,low,80,B,,,D,,,X,high,124,Z,medium,278,Y,medium,
847,CA. 2343,69.55,,S,15,,,83,D,low,0,C,,,X,medium,140,X,medium,214,Z,,440
848,349213,7.8958,,C,5,,low,10,C,unknown,,,medium,,X,high,459,X,low,377,Y,low,223
849,248727,33,,S,81,,,37,,high,46,,,69,X,medium,428,X,low,212,Z,high,395
850,17453,89.1042,C92,C,60,D,medium,,D,unknown,,B,,41,Y,low,2,Z,medium,401,X,low,184
851,347082,31.275,,S,,A,,57,,high,92,A,unknown,70,Z,low,420,X,high,79,Z,low,303
852,347060,7.775,,S,,B,medium,0,D,low,86,D,medium,71,Y,high,278,Y,low,410,Z,high,332
853,2678,15.2458,,C,96,A,,,D,medium,77,,low,52,Y,high,422,Z,medium,480,Z,medium,446
854,PC 17592,39.4,D28,S,23,A,low,,,medium,2,B,,,Z,low,311,X,high,121,X,high,98
855,244252,26,,S,,A,,,,low,,,unknown,,Z,high,344,X,medium,111,Z,,280
856,392091,9.35,,S,84,,,38,,unknown,43,C,high,15,,,288,,low,477,Z,high,202
857,36928,164.8667,,S,24,A,,,B,unknown,,A,,,X,medium,367,Z,high,203,X,,231
858,113055,26.55,E17,S,,,,30,A,,,A,unknown,95,Y,high,407,Z,medium,347,Y,low,424
859,2666,19.2583,,C,66,A,,29,B,high,29,C,,40,X,low,254,Y,medium,95,Y,high,67
860,2629,7.2292,,C,80,A,unknown,34,A,high,11,,high,31,X,medium,56,Z,high,213,,high,273
861,350026,14.1083,,S,96,D,high,30,C,high,32,C,medium,79,Y,,46,Z,,351,Y,high,193
862,28134,11.5,,S,92,A,,,C,low,79,B,high,60,Y,medium,207,X,high,447,Y,high,448
863,17466,25.9292,D17,S,,,medium,4,C,high,,A,unknown,,,low,236,X,medium,218,X,low,108
864,CA. 2343,69.55,,S,77,A,high,27,C,unknown,,,low,9,X,,431,X,high,37,Y,high,116
865,233866,13,,S,84,A,,31,B,,59,B,,80,Z,medium,16,Z,high,206,Y,low,45
866,236852,13,,S,69,C,high,,C,high,9,,unknown,,Y,low,444,,high,321,Z,high,219
867,SC/PARIS 2149,13.8583,,C,81,D,,87,D,,,,,,Y,medium,27,Z,low,437,X,medium,5
868,PC 17590,50.4958,A24,S,,C,,67,A,high,15,,,,,medium,249,Y,low,416,Z,low,250
869,345777,9.5,,S,,C,high,,B,,26,,,,X,high,211,Z,high,379,,,111
870,347742,11.1333,,S,4,A,high,,D,medium,97,,medium,,Y,medium,278,,medium,82,Z,high,200
871,349248,7.8958,,S,45,D,medium,,,,50,A,low,,X,medium,21,Z,high,,X,medium,302
872,11751,52.5542,D35,S,,A,low,90,D,unknown,19,,low,63,X,medium,381,Z,high,288,Y,high,342
873,695,5,B51 B53 B55,S,11,C,low,45,,low,50,A,low,84,Z,medium,67,X,medium,234,Y,low,30
874,345765,9,,S,12,B,,68,B,medium,7,B,,61,Z,low,389,Z,,461,Z,low,74
875,P/PP 3381,24,,C,69,D,medium,38,A,,31,A,unknown,77,Y,high,283,Z,low,479,Z,low,158
876,2667,7.225,,C,50,B,,49,D,,,D,,34,X,medium,444,X,high,105,Y,low,259
877,7534,9.8458,,S,,,,48,,medium,,A,unknown,28,X,medium,489,Z,low,478,X,medium,441
878,349212,7.8958,,S,74,,,,A,high,89,,,26,Y,low,421,Y,low,423,Z,medium,69
879,349217,7.8958,,S,54,C,medium,,A,low,,A,medium,11,,high,226,X,low,352,Y,low,33
880,11767,83.1583,C50,C,63,D,high,73,C,medium,65,A,medium,27,Y,medium,207,Z,high,190,X,medium,314
881,230433,26,,S,8,C,,2,D,unknown,70,C,high,24,Y,low,,,medium,380,Z,low,489
882,349257,7.8958,,S,85,,high,13,D,high,55,D,,75,X,low,324,Y,high,293,,medium,415
883,7552,10.5167,,S,,B,low,84,D,unknown,3,A,,,X,medium,395,Z,medium,449,Y,high,282
884,C.A./SOTON 34068,10.5,,S,,C,medium,56,,low,91,A,unknown,,X,high,241,X,medium,355,,medium,9
885,SOTON/OQ 392076,7.05,,S,81,B,,,D,medium,,B,medium,73,Y,low,231,X,low,482,Y,,
886,382652,29.125,,Q,73,,high,60,D,unknown,65,D,,,X,low,58,,medium,209,X,low,228
887,211536,13,,S,5,B,,,,,55,A,low,,X,medium,84,Z,medium,41,Z,high,223
888,112053,30,B42,S,19,A,low,89,B,,65,A,unknown,,Y,medium,,Y,high,245,Z,low,246
889,W./C. 6607,23.45,,S,1,A,,66,D,medium,35,B,high,21,Y,high,494,Y,high,498,Z,high,280
890,111369,30,C148,C,27,B,,,D,unknown,84,B,unknown,78,Z,high,300,Z,high,327,,,360
891,370376,7.75,,Q,,D,unknown,,A,medium,22,A,high,3,Y,medium,172,Z,high,351,Y,medium,96
