"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16"
834,7.8542,"","S",14,"D","unknown",54,"C","",78,"A","",NA,"Z","low",354,"X","low",162
835,8.3,"","S",85,"","medium",18,"B","low",NA,"","low",NA,"Y","high",226,"Y","low",21
836,83.1583,"E49","C",77,"A","",56,"D","unknown",42,"B","medium",34,"Z","low",228,"Y","high",180
837,8.6625,"","S",80,"B","low",13,"","",39,"C","",66,"Y","medium",0,"X","low",250
838,8.05,"","S",19,"D","unknown",14,"B","unknown",NA,"B","",47,"X","high",149,"Y","medium",260
839,56.4958,"","S",1,"C","low",23,"C","medium",40,"D","",NA,"X","",394,"X","low",170
840,29.7,"C47","C",91,"A","",28,"","unknown",NA,"A","high",52,"Z","high",415,"Y","medium",362
841,7.925,"","S",28,"","medium",2,"D","",18,"A","",NA,"Y","high",499,"X","medium",142
842,10.5,"","S",65,"B","unknown",96,"B","",17,"B","low",NA,"Z","medium",42,"Y","low",323
843,31,"","C",90,"D","",51,"D","low",71,"A","unknown",44,"Z","low",125,"Y","low",134
844,6.4375,"","C",3,"A","medium",51,"","",76,"A","",43,"Y","high",383,"Y","medium",493
845,8.6625,"","S",0,"D","",51,"","medium",67,"C","medium",27,"Y","medium",180,"X","",324
846,7.55,"","S",0,"C","low",80,"B","",NA,"D","",NA,"X","high",124,"Z","medium",278
847,69.55,"","S",15,"","",83,"D","low",0,"C","",NA,"X","medium",140,"X","medium",214
848,7.8958,"","C",5,"","low",10,"C","unknown",NA,"","medium",NA,"X","high",459,"X","low",377
849,33,"","S",81,"","",37,"","high",46,"","",69,"X","medium",428,"X","low",212
850,89.1042,"C92","C",60,"D","medium",51,"D","unknown",NA,"B","",41,"Y","low",2,"Z","medium",401
851,31.275,"","S",51,"A","",57,"","high",92,"A","unknown",70,"Z","low",420,"X","high",79
852,7.775,"","S",51,"B","medium",0,"D","low",86,"D","medium",71,"Y","high",278,"Y","low",410
853,15.2458,"","C",96,"A","",51,"D","medium",77,"","low",52,"Y","high",422,"Z","medium",480
854,39.4,"D28","S",23,"A","low",51,"","medium",2,"B","",NA,"Z","low",311,"X","high",121
855,26,"","S",51,"A","",51,"","low",NA,"","unknown",NA,"Z","high",344,"X","medium",111
856,9.35,"","S",84,"","",38,"","unknown",43,"C","high",15,"","",288,"","low",477
857,164.8667,"","S",24,"A","",51,"B","unknown",NA,"A","",NA,"X","medium",367,"Z","high",203
858,26.55,"E17","S",51,"","",30,"A","",NA,"A","unknown",95,"Y","high",407,"Z","medium",347
859,19.2583,"","C",66,"A","",29,"B","high",29,"C","",40,"X","low",254,"Y","medium",95
860,7.2292,"","C",80,"A","unknown",34,"A","high",11,"","high",31,"X","medium",56,"Z","high",213
861,14.1083,"","S",96,"D","high",30,"C","high",32,"C","medium",79,"Y","",46,"Z","",351
862,11.5,"","S",92,"A","",51,"C","low",79,"B","high",60,"Y","medium",207,"X","high",447
863,25.9292,"D17","S",51,"","medium",4,"C","high",NA,"A","unknown",NA,"","low",236,"X","medium",218
864,69.55,"","S",77,"A","high",27,"C","unknown",NA,"","low",9,"X","",431,"X","high",37
865,13,"","S",84,"A","",31,"B","",59,"B","",80,"Z","medium",16,"Z","high",206
866,13,"","S",69,"C","high",51,"C","high",9,"","unknown",NA,"Y","low",444,"","high",321
867,13.8583,"","C",81,"D","",87,"D","",NA,"","",NA,"Y","medium",27,"Z","low",437
868,50.4958,"A24","S",51,"C","",67,"A","high",15,"","",NA,"","medium",249,"Y","low",416
869,9.5,"","S",51,"C","high",51,"B","",26,"","",NA,"X","high",211,"Z","high",379
870,11.1333,"","S",4,"A","high",51,"D","medium",97,"","medium",NA,"Y","medium",278,"","medium",82
871,7.8958,"","S",45,"D","medium",51,"","",50,"A","low",NA,"X","medium",21,"Z","high",NA
872,52.5542,"D35","S",51,"A","low",90,"D","unknown",19,"","low",63,"X","medium",381,"Z","high",288
873,5,"B51 B53 B55","S",11,"C","low",45,"","low",50,"A","low",84,"Z","medium",67,"X","medium",234
874,9,"","S",12,"B","",68,"B","medium",7,"B","",61,"Z","low",389,"Z","",461
875,24,"","C",69,"D","medium",38,"A","",31,"A","unknown",77,"Y","high",283,"Z","low",479
876,7.225,"","C",50,"B","",49,"D","",NA,"D","",34,"X","medium",444,"X","high",105
877,9.8458,"","S",51,"","",48,"","medium",NA,"A","unknown",28,"X","medium",489,"Z","low",478
878,7.8958,"","S",74,"","",51,"A","high",89,"","",26,"Y","low",421,"Y","low",423
879,7.8958,"","S",54,"C","medium",51,"A","low",NA,"A","medium",11,"","high",226,"X","low",352
880,83.1583,"C50","C",63,"D","high",73,"C","medium",65,"A","medium",27,"Y","medium",207,"Z","high",190
881,26,"","S",8,"C","",2,"D","unknown",70,"C","high",24,"Y","low",NA,"","medium",380
882,7.8958,"","S",85,"","high",13,"D","high",55,"D","",75,"X","low",324,"Y","high",293
883,10.5167,"","S",51,"B","low",84,"D","unknown",3,"A","",NA,"X","medium",395,"Z","medium",449
884,10.5,"","S",51,"C","medium",56,"","low",91,"A","unknown",NA,"X","high",241,"X","medium",355
885,7.05,"","S",81,"B","",51,"D","medium",NA,"B","medium",73,"Y","low",231,"X","low",482
886,29.125,"","Q",73,"","high",60,"D","unknown",65,"D","",NA,"X","low",58,"","medium",209
887,13,"","S",5,"B","",51,"","",55,"A","low",NA,"X","medium",84,"Z","medium",41
888,30,"B42","S",19,"A","low",89,"B","",65,"A","unknown",NA,"Y","medium",NA,"Y","high",245
889,23.45,"","S",1,"A","",66,"D","medium",35,"B","high",21,"Y","high",494,"Y","high",498
890,30,"C148","C",27,"B","",51,"D","unknown",84,"B","unknown",78,"Z","high",300,"Z","high",327
891,7.75,"","Q",51,"D","unknown",51,"A","medium",22,"A","high",3,"Y","medium",172,"Z","high",351
