id,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36
875,Z,low,158,Y,low,154,X,high,384,X,low,460,Z,medium,375,,medium,,Z,high
876,Y,low,259,Y,low,345,Z,medium,86,X,high,423,Z,low,362,Z,low,269,Z,medium
877,X,medium,441,Y,medium,123,Z,medium,150,Y,medium,,X,medium,352,Z,medium,337,Y,high
878,Z,medium,69,Y,medium,381,X,low,,Z,medium,179,Z,medium,38,Y,medium,467,Y,low
879,Y,low,33,Y,medium,220,Y,low,482,Z,low,350,,low,201,Z,low,67,X,high
880,X,medium,314,Z,high,239,X,high,453,Z,low,337,Y,high,137,Y,high,451,X,medium
881,Z,low,489,Y,high,290,,low,,Y,high,75,X,high,445,Y,,241,Z,low
882,,medium,415,X,,42,Y,medium,87,Z,medium,291,Z,medium,291,X,high,71,Z,low
883,Y,high,282,Y,low,183,Y,high,404,Z,low,274,X,high,257,X,low,216,X,medium
884,,medium,9,Y,low,101,Z,medium,158,Z,medium,292,,low,261,Y,high,27,Z,low
885,Y,,,X,low,,Z,low,38,Y,medium,169,Y,high,341,X,low,270,X,medium
886,X,low,228,X,medium,,Z,high,294,X,medium,334,Z,high,381,X,high,236,X,
887,Z,high,223,X,,2,X,low,328,Y,medium,442,X,high,100,Y,high,195,X,high
888,Z,low,246,X,high,13,Z,high,499,Z,high,302,X,medium,496,Y,low,222,Y,medium
889,Z,high,280,X,low,456,Y,low,243,Z,low,436,Y,high,380,X,,310,X,high
890,,,360,Z,low,78,X,medium,399,X,medium,385,Y,medium,103,Z,,413,Y,
891,Y,medium,96,Z,medium,0,,medium,267,X,high,157,Y,high,302,Z,low,196,Y,
